<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,5,240201,100000,276.07,276.2,275.93,276.12,309450
SBER,5,240201,100500,276.11,276.79,276.1,276.55,360970
SBER,5,240201,101000,276.55,276.75,276.46,276.49,224500
SBER,5,240201,101500,276.48,276.91,276.48,276.89,271960
SBER,5,240201,102000,276.89,277.12,276.76,277.07,587810
SBER,5,240201,102500,277.06,277.2,276.98,276.98,620310
SBER,5,240201,103000,276.98,277.08,276.85,276.92,434110
SBER,5,240201,103500,276.92,277.14,276.91,277.13,241090
SBER,5,240201,104000,277.13,277.45,277.13,277.36,396440
SBER,5,240201,104500,277.35,277.75,277.35,277.41,769290
SBER,5,240201,105000,277.4,277.48,277.04,277.29,372140
SBER,5,240201,105500,277.29,277.48,277.07,277.48,165780
SBER,5,240201,110000,277.48,277.5,277.31,277.42,336210
SBER,5,240201,110500,277.38,277.41,277.2,277.24,93690
SBER,5,240201,111000,277.24,277.3,277.18,277.28,84280
SBER,5,240201,111500,277.28,277.5,277.28,277.49,101630
SBER,5,240201,112000,277.49,277.5,277.32,277.46,121860
SBER,5,240201,112500,277.46,277.46,277.11,277.3,198850
SBER,5,240201,113000,277.32,277.32,277.19,277.25,128890
SBER,5,240201,113500,277.26,277.4,277.14,277.37,157690
SBER,5,240201,114000,277.37,277.42,277.29,277.3,82450
SBER,5,240201,114500,277.3,277.33,277.02,277.11,152670
SBER,5,240201,115000,277.11,277.13,277.01,277.1,78150
SBER,5,240201,115500,277.1,277.15,276.81,277.14,210680
SBER,5,240201,120000,277.14,277.15,276.82,277.07,98870
SBER,5,240201,120500,277.07,277.19,277.07,277.13,71950
SBER,5,240201,121000,277.14,277.15,277,277.01,109730
SBER,5,240201,121500,277.01,277.09,276.95,277.06,78580
SBER,5,240201,122000,277.06,277.29,277,277.03,194110
SBER,5,240201,122500,277.03,277.11,276.7,277,193570
SBER,5,240201,123000,276.99,277,276.94,276.95,82980
SBER,5,240201,123500,276.94,277.01,276.94,277,46940
SBER,5,240201,124000,277.01,277.2,277,277.2,34610
SBER,5,240201,124500,277.2,277.25,277.05,277.2,56240
SBER,5,240201,125000,277.19,277.2,277,277.19,42660
SBER,5,240201,125500,277.19,277.2,276.99,277,56640
SBER,5,240201,130000,277,277.09,276.91,277.06,63560
SBER,5,240201,130500,277.07,277.07,277.02,277.07,61650
SBER,5,240201,131000,277.06,277.08,276.98,277.07,58080
SBER,5,240201,131500,277.08,277.11,277.07,277.11,27930
SBER,5,240201,132000,277.11,277.13,277.02,277.08,51930
SBER,5,240201,132500,277.05,277.09,276.93,277,71780
SBER,5,240201,133000,277,277.08,276.92,277.08,106090
SBER,5,240201,133500,277.06,277.06,276.95,276.95,46240
SBER,5,240201,134000,276.95,276.98,276.78,276.98,90070
SBER,5,240201,134500,276.97,276.97,276.79,276.82,75920
SBER,5,240201,135000,276.79,276.83,276.65,276.69,121620
